,Substack Readership Rank,Twitter Followers
430,"Thousands
of readers",17505.0
433,"Tens of
thousands
of readers",711224.0
434,"Tens of
thousands
of readers",202480.0
435,"Tens of
thousands
of readers",23875.0
438,"Thousands
of readers",44389.0
439,"Tens of
thousands
of readers",784537.0
440,"Tens of
thousands
of readers",617059.0
441,"Thousands
of readers",588.0
443,"Thousands
of readers",5483.0
444,"Tens of
thousands
of readers",33741.0
445,"Thousands
of readers",10479.0
446,"Thousands
of readers",
447,"Thousands
of readers",
448,"Thousands
of readers",38874.0
449,"Thousands
of readers",13347.0
451,"Thousands
of readers",14973.0
452,"Thousands
of readers",72283.0
453,"Thousands
of readers",5418.0
454,"Thousands
of readers",2360.0
455,"Tens of
thousands
of readers",71986.0
456,"Tens of
thousands
of readers",1575.0
457,"Thousands
of readers",90143.0
459,"Tens of
thousands
of readers",501975.0
460,"Thousands
of readers",3058.0
461,"Thousands
of readers",
464,"Thousands
of readers",58358.0
466,"Thousands
of readers",294.0
467,"Hundreds
of readers",1072.0
468,"Thousands
of readers",3160.0
469,"Thousands
of readers",1423.0
471,"Tens of
thousands
of readers",26.0
472,"Thousands
of readers",599.0
476,"Thousands
of readers",6083.0
478,"Hundreds
of readers",763.0
479,"Thousands
of readers",12202.0
480,"Hundreds
of readers",15.0
482,"Thousands
of readers",4643.0
483,"Hundreds
of thousands
of readers",108482.0
484,"Tens of
thousands
of readers",29759.0
486,"Tens of
thousands
of readers",16048.0
487,"Thousands
of readers",27830.0
488,"Thousands
of readers",19737.0
489,"Thousands
of readers",1765.0
490,"Thousands
of readers",368.0
492,"Tens of
thousands
of readers",14507.0
493,"Thousands
of readers",10661.0
494,"Thousands
of readers",13215.0
498,"Hundreds
of readers",
500,"Hundreds
of readers",1524.0
501,"Thousands
of readers",2782.0
503,"Hundreds
of readers",230.0
505,"Hundreds
of readers",1395.0
506,"Hundreds
of readers",219.0
507,"Hundreds
of readers",67857.0
510,"Thousands
of readers",4265.0
511,"Thousands
of readers",49776.0
515,"Tens of
thousands
of readers",67818.0
516,"Hundreds
of readers",18088.0
517,"Hundreds
of readers",326.0
518,"Thousands
of readers",20.0
519,"Tens
of readers",694.0
520,"Hundreds
of readers",5539.0
521,"Hundreds
of readers",2274.0
523,"Hundreds
of readers",3535.0
524,"Tens of
thousands
of readers",738.0
525,"Tens of
thousands
of readers",6172.0
527,"Tens of
thousands
of readers",24447.0
528,"Thousands
of readers",41943.0
529,"Tens of
thousands
of readers",86351.0
530,"Tens of
thousands
of readers",56808.0
531,"Thousands
of readers",20880.0
532,"Thousands
of readers",11863.0
533,"Thousands
of readers",2560.0
534,"Thousands
of readers",9319.0
535,"Thousands
of readers",3134.0
536,"Thousands
of readers",31413.0
538,"Thousands
of readers",5770.0
540,Readership N/A,9438.0
541,"Thousands
of readers",37537.0
542,"Hundreds
of readers",2106.0
543,"Thousands
of readers",5033.0
544,"Hundreds
of readers",4935.0
545,"Hundreds
of readers",497.0
546,"Thousands
of readers",7087.0
547,"Hundreds
of readers",16.0
549,"Thousands
of readers",2708.0
551,"Tens of
thousands
of readers",19655.0
552,"Thousands
of readers",1097.0
554,"Thousands
of readers",44475.0
555,"Thousands
of readers",49217.0
558,"Hundreds
of readers",0.0
559,"Thousands
of readers",5784.0
560,"Hundreds
of readers",1413.0
563,"Tens of
thousands
of readers",56586.0
565,"Tens of
thousands
of readers",2546.0
566,"Thousands
of readers",617.0
568,"Thousands
of readers",8307.0
570,"Tens of
thousands
of readers",38283.0
571,"Thousands
of readers",2996.0
573,"Hundreds
of readers",3.0
575,"Thousands
of readers",1611.0
576,"Hundreds
of readers",
577,"Hundreds
of readers",92.0
579,"Hundreds
of readers",26966.0
581,"Hundreds
of readers",1203.0
583,"Tens
of readers",134.0
584,"Hundreds
of readers",665.0
586,"Thousands
of readers",16.0
587,"Tens
of readers",289.0
588,"Tens of
thousands
of readers",30435.0
589,"Thousands
of readers",7642.0
590,"Thousands
of readers",1103.0
591,"Thousands
of readers",1194.0
592,"Thousands
of readers",28132.0
593,"Thousands
of readers",921781.0
594,"Thousands
of readers",129.0
597,"Thousands
of readers",23937.0
598,"Thousands
of readers",1867.0
599,"Hundreds
of readers",
600,"Thousands
of readers",11050.0
601,"Hundreds
of readers",5063.0
602,"Thousands
of readers",9941.0
603,"Thousands
of readers",1976.0
605,"Thousands
of readers",9703.0
608,"Thousands
of readers",194.0
611,"Hundreds
of readers",635.0
612,"Thousands
of readers",9580.0
613,Readership N/A,998608.0
614,"Thousands
of readers",213884.0
615,"Tens of
thousands
of readers",144998.0
616,"Thousands
of readers",310307.0
617,"Thousands
of readers",3458.0
621,"Thousands
of readers",12471.0
622,"Thousands
of readers",435.0
623,"Thousands
of readers",2109.0
624,"Hundreds
of readers",245.0
626,"Thousands
of readers",212862.0
627,"Thousands
of readers",42605.0
628,"Tens of
thousands
of readers",4993.0
631,"Hundreds
of readers",2.0
632,"Hundreds
of readers",7.0
633,"Hundreds
of readers",173617.0
634,"Thousands
of readers",345.0
636,"Tens
of readers",1839.0
638,"Tens of
thousands
of readers",25719.0
642,"Tens of
thousands
of readers",254.0
643,"Tens of
thousands
of readers",47373.0
644,"Thousands
of readers",27944.0
645,"Thousands
of readers",693.0
646,"Thousands
of readers",36078.0
647,"Thousands
of readers",31802.0
651,"Thousands
of readers",629.0
653,"Hundreds
of readers",2416.0
655,"Thousands
of readers",285.0
656,"Hundreds
of readers",60.0
659,"Thousands
of readers",8533.0
